NO,都道府県コード又は市区町村コード,名称,名称(カナ),名称(英字),名称(通称),サブタイトル,概要,説明,サブイベント,イベント種類,URL,画像URL,状態,対象となる産業,ステージ,開始日,終了日,開始時刻,終了時刻,日時備考,場所名称,集合場所,郵便番号,住所都道府県,住所市区町村,住所町名,住所丁目以下,建物名等,緯度,経度,主催団体,共催団体,その他関係団体,対象者,定員,料金(基本),料金(詳細),外国語対応,申込期限日,申込期限時刻,申込方法,アクセス方法,駐車場情報,駐輪場情報,連絡先名称,連絡先電話番号,連絡先内線番号,連絡先メールアドレス,備考
0000000001,112119,エクセル講習会(会場:はにぽんプラザ),,,,,,エクセルで関数の使い方を学びましょう。(2)日付入り手帳作り,,生活と環境,https://www.city.honjo.lg.jp/soshiki/kyoikuiinkai/shogaigakusyu/tantoujouhou/kouminkan/honjooukou/10425.html,,,,,2022-01-17,2022-02-07,13:00,16:00,"毎週月曜日　全4回　午後1時~4時
開始日: 2022/1/17
終了日: 2022/2/7",,はにぽんプラザ3階IT活動室,,埼玉県,本庄市,,,,,,,,,,12,2000,,,,,11月8日(月曜日)から電話又は直接公民館へ(土・日・休日は連絡不可),,,,本庄市本庄公民館,(0495)24-7383,,,
0000000002,112119,ワード講習会(会場:はにぽんプラザ),,,,,,"ワードで写真や絵を挿入する操作を学びましょう。
(2)すてきなメッセージカード作り",,生活と環境,https://www.city.honjo.lg.jp/soshiki/kyoikuiinkai/shogaigakusyu/tantoujouhou/kouminkan/honjooukou/10444.html,,,,,2022-01-17,2022-02-07,09:00,12:00,"毎週月曜日　全4回　午前9時~正午
開始日: 2022/1/17
終了日: 2022/2/7
開始時刻: 9:00",,はにぽんプラザ3階IT活動室,,埼玉県,本庄市,,,,,,,,,,12,2000,,,,,11月8日(月曜日)から電話又は直接公民館へ(土・日・休日は連絡不可),,,,本庄市本庄公民館,(0495)24-7383,,,
0000000003,112119,初心者スマホ教室,,,,,,"スマートフォンの使い方やキャッシュレス決済の利用方法を分かりやすく説明する教室です。

興味はあるけど使えるか心配、そろそろスマホにしたい、持っているけどよくわからないと思っている方、実際にスマホを触ってそのお悩みを解決しませんか?スマホの便利な使い方や、キャッシュレス決済の利用方法などを分かりやすく説明しますので、ぜひご参加ください。",,生活と環境,https://www.city.honjo.lg.jp/soshiki/keizaikankyo/shoukoukankou/news/11496.html,,,,,2022-01-24,2022-01-24,10:30,12:00,,,本庄市役所2階職員厚生室,,埼玉県,本庄市,,,,,,,,,,20,0,,,,,"電話または直接商工観光課まで
　
　受付開始日　12月22日(水曜日)から",,,,経済環境部商工観光課商工労政係,(0495)25-1175,,,
0000000004,112119,初心者スマホ教室,,,,,,"スマートフォンの使い方やキャッシュレス決済の利用方法を分かりやすく説明する教室です。

興味はあるけど使えるか心配、そろそろスマホにしたい、持っているけどよくわからないと思っている方、実際にスマホを触ってそのお悩みを解決しませんか?スマホの便利な使い方や、キャッシュレス決済の利用方法などを分かりやすく説明しますので、ぜひご参加ください。",,生活と環境,https://www.city.honjo.lg.jp/soshiki/keizaikankyo/shoukoukankou/news/11496.html,,,,,2022-01-24,2022-01-24,13:30,15:00,,,本庄市役所2階職員厚生室,,埼玉県,本庄市,,,,,,,,,,20,0,,,,,"電話または直接商工観光課まで
　
　受付開始日　12月22日(水曜日)から",,,,経済環境部商工観光課商工労政係,(0495)25-1175,,,
0000000005,112119,初心者スマホ教室,,,,,,"スマートフォンの使い方やキャッシュレス決済の利用方法を分かりやすく説明する教室です。

興味はあるけど使えるか心配、そろそろスマホにしたい、持っているけどよくわからないと思っている方、実際にスマホを触ってそのお悩みを解決しませんか?スマホの便利な使い方や、キャッシュレス決済の利用方法などを分かりやすく説明しますので、ぜひご参加ください。",,生活と環境,https://www.city.honjo.lg.jp/soshiki/keizaikankyo/shoukoukankou/news/11496.html,,,,,2022-01-31,2022-01-31,10:30,12:00,,,本庄市役所2階職員厚生室,,埼玉県,本庄市,,,,,,,,,,20,0,,,,,"電話または直接商工観光課まで
　
　受付開始日　12月22日(水曜日)から",,,,経済環境部商工観光課商工労政係,(0495)25-1175,,,
0000000006,112119,初心者スマホ教室,,,,,,"スマートフォンの使い方やキャッシュレス決済の利用方法を分かりやすく説明する教室です。

興味はあるけど使えるか心配、そろそろスマホにしたい、持っているけどよくわからないと思っている方、実際にスマホを触ってそのお悩みを解決しませんか?スマホの便利な使い方や、キャッシュレス決済の利用方法などを分かりやすく説明しますので、ぜひご参加ください。",,生活と環境,https://www.city.honjo.lg.jp/soshiki/keizaikankyo/shoukoukankou/news/11496.html,,,,,2022-01-31,2022-01-31,13:30,15:00,,,本庄市役所2階職員厚生室,,埼玉県,本庄市,,,,,,,,,,20,0,,,,,"電話または直接商工観光課まで
　
　受付開始日　12月22日(水曜日)から",,,,経済環境部商工観光課商工労政係,(0495)25-1175,,,
0000000007,112119,はじめての太極拳教室,,,,,,,,健康・福祉、スポーツ,https://www.city.honjo.lg.jp/soshiki/kyoikuiinkai/shogaigakusyu/tantoujouhou/kouminkan/nittekouminkan/14184.html,,,,,2022-01-11,2022-02-11,13:30,15:00,"令和4年1月11日から2月1日までの毎週火曜日
　全4回
開始日: 2022/1/11
終了日: 2022/2/11",,仁手公民館,,埼玉県,本庄市,仁手,665番1,,,,,,,,8,0,,,,,12月13日(月曜日)から電話又は直接公民館へ(水・土・日・休日は連絡不可),,,,本庄市仁手公民館,(0495)22-3538,,,
0000000008,112119,クレイクラフト教室,,,,,,,,生活と環境,https://www.city.honjo.lg.jp/soshiki/kyoikuiinkai/shogaigakusyu/tantoujouhou/kouminkan/hujitakouminkan/11996.html,,,,,2022-01-26,2022-02-09,13:30,15:30,"1月26日(水曜日)・2月2日(水曜日)・9日(水曜日)
　
　全3回
開始日: 2022/1/26
終了日: 2022/2/9",,藤田公民館,,埼玉県,本庄市,牧西,1210番地3,,,,,,,,10,2000,,,,,1月11日(火曜日)午後1時30分から電話又は直接公民館へ(金・土・日・休日は連絡不可),,,,本庄市藤田公民館,(0495)22-2332,,,
0000000009,112119,献血にいこう~救える命があります~,,,,,,"病気やけがの治療のために、国内では毎日約3,000人もの患者が輸血を受けています。輸血に使用する血液は、人工的につくれないうえに、長期間の保存もできないため、たくさんの方に継続的に献血にご協力をしていただく必要があります。輸血を待つ患者さんへ安定して血液をお届けするために、皆さまのあたたかいご協力をお願いします。",,健康・福祉、スポーツ,https://www.city.honjo.lg.jp/soshiki/hoken/kenko/oshirase/1512022915120.html,,,,,2022-01-29,2022-01-29,10:00,11:45,,,ベイシア本庄早稲田ゲート店,,埼玉県,本庄市,,,,,,,,,,,,,,,,,,,,保健部健康推進課(保健センター内),(0495)24-2003,,,
0000000010,112119,献血にいこう~救える命があります~,,,,,,"病気やけがの治療のために、国内では毎日約3,000人もの患者が輸血を受けています。輸血に使用する血液は、人工的につくれないうえに、長期間の保存もできないため、たくさんの方に継続的に献血にご協力をしていただく必要があります。輸血を待つ患者さんへ安定して血液をお届けするために、皆さまのあたたかいご協力をお願いします。",,健康・福祉、スポーツ,https://www.city.honjo.lg.jp/soshiki/hoken/kenko/oshirase/1512022915120.html,,,,,2022-01-29,2022-01-29,13:00,16:00,,,ベイシア本庄早稲田ゲート店,,埼玉県,本庄市,,,,,,,,,,,,,,,,,,,,保健部健康推進課(保健センター内),(0495)24-2003,,,
