NO,都道府県コード又は市区町村コード,名称,名称(カナ),名称(英字),名称(通称),サブタイトル,概要,説明,サブイベント,イベント種類,URL,画像URL,状態,対象となる産業,ステージ,開始日,終了日,開始時刻,終了時刻,日時備考,場所名称,集合場所,郵便番号,住所都道府県,住所市区町村,住所町名,住所丁目以下,建物名等,緯度,経度,主催団体,共催団体,その他関係団体,対象者,定員,料金(基本),料金(詳細),外国語対応,申込期限日,申込期限時刻,申込方法,アクセス方法,駐車場情報,駐輪場情報,連絡先名称,連絡先電話番号,連絡先内線番号,連絡先メールアドレス,備考
0000000003,,2022板橋CityマラソンONLINE,,,,,,"2022板橋CityマラソンONLINEは、スマートフォンの専用アプリ「TATTA」を利用して、各自お好きな時間・場所でランニングを行っていただく、誰でも気軽に参加できる大会です。
スタンダードコース(42.195km完走チャレンジ)とフリーコース(限界突破チャレンジ)の2種類の参加コースから、ご自身の目的や好みにあわせてコースを選択してください。
他の大会では味わうことのできない企画や豪華特典もご用意しましたので、日頃からトレーニングをしている方も、これからランニングを始めようと思っている方も、ぜひご参加ください!

種目
A.スタンダードコース(42.195km完走チャレンジ)
※開催期間中にフルマラソン(42.195km)の完走を目指す。
B.フリーコース(限界突破チャレンジ)
※開催期間中に、累計でどれだけ長い距離を走ることができるかを競う。",,健康・福祉、スポーツ,https://i-c-m.jp/,,,,,2022-03-01,2022-03-21,,,,,,,東京都,板橋区,,,,,,,,,,0,1500,※手数料220円が別途必要,,2022-02-22,23:59,,,,,板橋Cityマラソン実行委員会事務局(板橋区区民文化部スポーツ振興課内),(03)3579-2654,,,"参加資格:
平成21年(2009年)4月1日以前に生まれた方(中学生以上)"
0000000001,,レクリエーション・インストラクター養成講習会,,,,,,,,セミナー,https://kenko.sportscom.jp/#/events/event/1000015/0,,,,,2022-02-06,2022-02-06,,,,,京都市下京青少年活動センター大会議室,,京都府,京都市,南区東九条下殿田町,70,,,,京都府レクリエーション協会,,,,,,,,,,,,,,京都府レクリエーション協会,(075)634-7584,,,
0000000002,,マイ神戸ウォーク,,,,,,"ゆたかな山と海の自然にめぐまれ、古くから港を中心に多様な文化が育まれてきた「神戸」を9つのテーマでマップ化。
ご興味のあるテーマに沿って歩いてみませんか?
スタンプラリーをクリアした方には、ささやかなプレゼントをご用意しています。",,催事・観光,http://mykobewalk.jp/,,,,,2021-11-01,2022-01-31,09:00,12:00,,,,,兵庫県,神戸市,,,,,,,,,,,,,,,,,,,,,,,,
0000000003,,楽しくソフトバレーボールをしよう!,,,,,,週1回の運動でリフレッシュ。初心者には専門指導員が教えます。,,健康・福祉、スポーツ,https://nagasaki-sports.com,,,,,2021-11-06,2022-03-26,19:30,21:30,"毎週土曜日
開始日: 2021/11/6
終了日: 2022/3/26",,長崎市立戸石小体育館,,長崎県,長崎市,戸石町,1281,,,,東長崎総合型スポーツクラブ,,,,,,,,2022-03-26,,,バス停　「戸石学校前」から徒歩1分,,,東長崎総合型スポーツクラブ,,,,
0000000004,,令和3年度スポーツ・レクリエーション指導者 養成講習会,,,,,,,,セミナー,https://kenko.sportscom.jp/#/events/event/1000014/0,,,,,2021-12-18,2022-02-27,09:30,16:30,"毎週土曜日・日曜日
終了日: 2022/2/27
開始時刻: 9:30",,福島市信陵学習センター,,福島県,福島市,笹谷才ノ神,1,,,,特定非営利活動法人福島県レクリエーション協会,,,,30,,"毎回2,000円、合計20,000円",,,,申込用紙に氏名・性別・年齢・生年月日・住所・電話番号・e-mailアドレスのすべてを明記し、福島県レクリエーション協会へお申込みください。なお、単発受講をご希望の方は、開催日の1週間前までにお申し込みください。,,,,特定非営利活動法人福島県レクリエーション協会,(024)544-1886,,,
0000000005,,こども運動教室,,,,,,低学年生向けに、ジュニアスポーツ専門指導員が体を動かくことの楽しみを指導します。,,子育て・教育,https://nagasaki-sports.com,,,,,2022-01-11,2022-03-22,16:00,17:00,"毎週火曜日
開始日: 2022/1/11
終了日: 2022/3/22",,長崎市立戸石小体育館,,長崎県,長崎市,戸石町,1281,,,,東長崎総合型スポーツクラブ,,,,20,,,,2021-12-24,,,バス停　「戸石学校前」から徒歩1分,,,東長崎総合型スポーツクラブ,,,,水中競技/　体操・ヨガ・トレーニング/　レクリエーションスポーツ
0000000006,,福島県スポレク・アカデミー2021,,,,,,"全日程参加およびレポート、現場実習終了で
公益財団法人日本レクリエーション協会公認
スポーツ・レクリエーション指導者資格が取得できます。",,健康・福祉、スポーツ,https://kenko.sportscom.jp/#/events/event/1000044/0,,,,,2022-01-15,2022-03-13,,,,,福島市信陵学習センター,,福島県,福島市,笹谷,,信陵学習センター,,,特定非営利活動法人　福島県レクリエーション協会,,,,20,,,,,,"申込用紙に記入いただくか、氏名・住所・年齢・性別・電話番号を明記し、郵便・
FAX・e-mail　で、下記へお申込みください。開催　1　週間前までにお申込みいた
だいた方には、開催通知をお出しします",,,,特定非営利活動法人　福島県レクリエーション協会,(024)544-1886,,,
0000000007,,Running Zushi池子トラック練習会,,,,,,"・19:00~トラック利用開始
・19:45~メインメニュー開始
*18:55に競技場の明かりがつきます。
*20:55完全退出でお願いいたします。
→メニューはペース走、ビルドアップ、インターバル走など。ペースはそれぞれのできる範囲で。
　一緒に練習してみんなでそれぞれの目標を達成しましょう!
*集合、解散、メインメニューの開始時間など骨組みは決めますが自主練でもokです(参加費ははかかります)。
・雨天時中止
*活動の趣旨(トラック利用方法、規約及び注意点、補足)を必ず事前にお読みください。
・対象　ランニングを楽しみたい方、強くなりたい方。",,健康・福祉、スポーツ,https://runningzushi.jimdofree.com,,,,,2022-01-25,2022-01-25,19:00,21:00,,,池子の森自然公園400mトラック,,神奈川県,逗子市,池子字花ノ瀬,60-1,,,,RUNNING　ZUSHI,,,,,,"会員:1,000円　 *ビジター:2,000円",,,,,京急神武寺駅より徒歩7分,あり,,RUNNING　ZUSHI,(090)5305-7773,,,予約不要
0000000008,,Running Zushi休日トラック練習会,,,,,,"・9:00~トラック利用開始
・9:45~メインメニュー開始
*10:55完全退出でお願いいたします。
→メニューはペース走、ビルドアップ、インターバル走など。ペースはそれぞれのできる範囲で。
　一緒に練習してみんなでそれぞれの目標を達成しましょう!
*集合、解散、メインメニューの開始時間など骨組みは決めますが自主練でもokです(参加費ははかかります)。
・雨天時中止
*活動の趣旨(トラック利用方法、規約及び注意点、補足)を必ず事前にお読みください。
・対象　ランニングを楽しみたい方、強くなりたい方。",,健康・福祉、スポーツ,https://runningzushi.jimdofree.com,,,,,2022-02-13,2022-02-13,09:00,,,,池子の森自然公園400mトラック,,神奈川県,逗子市,池子字花ノ瀬,60-1,,,,RUNNING　ZUSHI,,,,,,"会員:1,000円　 *ビジター:2,000円",,,,,京急神武寺駅より徒歩7分,あり,,RUNNING　ZUSHI,(090)5305-7773,,,予約不要
0000000009,,第1回運動部活動指導士養成(資格認定)講習会,,,,,,"部活動の地域への移行が示されています。部活動の指導は学校施設を使っての実技指導となるため、スポーツ・運動の技術指導に加え学校教育法の知識、教員・保護者との連携、児童・生徒の発育・発達など広範囲な実践的知識が求められます。生涯スポーツ振興のため、学校と地域スポーツクラブとの機能的連携を推進できる指導者の育成を目指します。
カリキュラムは、学校教育法・運動部活動のマネジメント・児童・生徒の理解・アンガーマネジメント等の理論編と運動学習理論・体力トレーニング・スポーツ指導法・コーディネーショントレーニング等の演習編の2種類を用意します。今回は演習編です。",,資格と認定,https://jsca21.or.jp/info/athletic_culb_seminar,,,,,2022-02-13,2022-02-14,09:00,18:45,"資格の認定申請には3日間の講習の受講が必要です
開始日: 2022/2/13
終了日: 2022/2/14
開始時刻: 9:00",,オリンピック記念青少年総合センター　研修室・体育室,,東京都,渋谷区,神園町,3-1,,,,公益財団法人日本スポーツクラブ協会,,,,30,,"53,000円(受講料42,000円資格取得費用11,000円　有効期限2カ年)日本スポーツクラブ協会会員は3,000円割引",,2022-02-08,,"申込用紙をご利用ください
申込期限日: 2022/2/8",小田急線　参宮橋駅から徒歩5分,,,公益財団法人日本スポーツクラブ協会,(03)5354-5351,,,
